Lettera,Nome,Nome2,Regione,Uva,Anno,Prezzo,Gradazione,Comprato in,Prezzo asta
F,"Tornatore, Etna Rosso",Etna Rosso,Sicilia,Nerello,2020,€ 20.00,14,Vineria Sergio,20
C,"Territorio, Claudio Mariotto",Territorio,Piemonte,Barbera,2020,€ 10.00,14.5,Vineria Sergio,10
A,"Gattinara, Travaglini",Gattinara,Piemonte,Nebbiolo,2018,€ 40.00,13.5,Vineria Sergio,40
E,"Grignolino del Monteferrato Casalese, Liedholm",Grignolino,Toscana,Grignolino,2022,€ 5.20,14.5,Esselunga,5
B,"Grignolino del Monteferrato Casalese, Liedholm",Grignolino,Toscana,Grignolino,2022,€ 5.20,14.5,Esselunga,5
D,"Montepulciano d'Abruzzo, Bella Torre",Montepulciano,Abruzzo,Montepulciano,2022,€ 2.20,13.5,Esselunga,2
G,"Cabreo, Il Borgo",Cabreo,Toscana,Chianti,2020,€ 41.90,15,Esselunga,40
